high,close
131.00,129.04
126.44,124.81
127.49,125.01
126.99,126.52
125.18,124.82
128.79,125.86
124.87,124.37
118.39,118.28
117.16,115.71
116.00,115.56
116.09,114.61
115.00,114.91
116.04,115.01
113.28,113.01
112.48,109.38
113.78,112.73
113.68,111.11
114.41,113.90
110.39,110.06
110.79,109.67
111.64,108.94
106.42,106.26
96.30,96.19
95.23,95.04
94.55,93.25
94.90,94.81
92.97,92.61
97.08,92.85
97.97,97.27
99.25,97.00
98.50,98.36
97.15,96.33
97.40,96.52
99.25,97.72
97.25,97.06
99.96,95.48
95.98,95.92
96.32,95.75
95.38,95.34
94.65,93.17
93.94,93.46
92.62,91.03
91.84,91.03
91.50,91.20
90.54,90.44
91.33,88.41
91.25,91.21
92.20,90.01
93.10,91.63
89.86,89.72
89.14,87.43
88.36,87.93
88.85,87.90
88.30,88.02
86.42,85.75
86.95,84.70
87.76,83.97
88.69,88.21
86.40,86.00
83.40,83.36
82.94,82.88
81.40,80.58
81.55,81.28
80.86,80.83
80.59,80.46
80.29,79.49
80.86,79.56
79.68,79.53
81.06,79.18
79.81,79.72
80.22,79.21
79.88,79.81
79.63,78.29
79.13,78.74
76.97,76.93
77.45,77.39
78.99,76.91
79.92,77.85
79.26,78.75
77.59,77.53
76.29,75.93
75.81,75.16
75.25,74.39
73.42,73.29
74.75,72.27
73.63,73.45
72.42,71.93
71.46,69.64
71.14,70.79
70.75,70.74
70.44,68.76
69.47,69.03
69.31,67.09
70.42,69.23
71.74,70.70
72.05,71.67
71.58,71.11
72.06,71.76
68.43,68.31
67.52,67.00
66.84,66.52
67.93,64.86
65.78,65.62
61.42,60.35
61.29,61.23
62.18,60.23
65.62,63.57
63.88,63.70
63.97,61.94
64.67,64.61
64.56,61.38
61.92,61.72
57.13,56.09
62.96,57.31
63.21,61.19
62.50,61.67
64.40,63.22
64.77,60.55
69.98,69.49
67.50,62.06
70.31,68.86
71.61,71.33
69.52,66.54
72.71,72.26
74.89,73.23
75.85,75.68
76.00,72.33
75.36,74.70
69.60,68.34
71.50,68.38
74.47,73.16
75.63,72.02
76.04,74.54
80.11,78.26
81.16,80.07
81.14,80.90
79.94,79.75
81.50,81.24
81.56,81.22
81.81,81.80
80.97,79.90
80.39,80.39
80.85,80.01
81.31,81.30
81.19,80.36
79.91,79.71
78.37,77.17
80.67,77.38
81.02,80.97
81.96,81.08
79.60,79.42
77.94,77.24
80.83,79.58
79.89,79.81
80.00,79.43
79.75,79.14
79.68,79.68
78.93,78.81
78.88,77.83
79.39,78.17
79.27,79.24
78.17,77.58
77.61,77.41
76.11,75.80
75.22,74.60
74.99,74.95
75.14,74.36
75.15,75.09
